ng_h,
ng_h_r1, 13, 9, 4, 8, 7, 9, 0, 8, 4, 9, 3, 8, 5, 9, 4, 8, 2, 9, 1, 8, 4, 9, 1, 8, 3, 9, 4, 8, 6, 9, 1, 8, 4, 9, 3, 8, 1, 9, 4, 8, 1, 9, 4, 8, 3, 9, 4, 8, 3, 9, 4, 10, 3, 11,
ng_h_r2, 13, 11, 0, 10, 1, 11, 6, 10, 0, 11, 2, 10, 12, 11, 3, 10, 7, 11, 0, 10, 7, 11, 2, 10, 7, 11, 12, 10, 2, 11, 7, 10, 5, 11, 0, 10, 7, 11, 0, 10, 7, 11, 2, 10, 7, 11, 4, 10, 7, 11, 2, 9, 7, 8,
ng_h_r3, 13, 10, 1, 8, 7, 9, 6, 8, 5, 9, 6, 8, 5, 10, 4, 11, 3, 9, 5, 11, 4, 10, 2, 8, 6, 10, 12, 11, 7, 9, 4, 11, 6, 8, 7, 9, 5, 11, 0, 10, 5, 8, 6, 10, 7, 9, 4, 11, 7, 10, 4, 11, 7, 9,
ng_h_r4, 13, 11, 6, 9, 0, 11, 6, 9, 0, 11, 3, 9, 12, 11, 0, 9, 2, 11, 1, 9, 6, 11, 1, 9, 6, 11, 12, 9, 1, 11, 0, 9, 1, 11, 4, 9, 6, 11, 1, 9, 6, 11, 5, 10, 6, 9, 0, 11, 6, 9, 7, 11, 6, 8,
ng_h_r5, 13, 8, 5, 10, 2, 8, 6, 10, 5, 8, 3, 10, 2, 8, 5, 10, 3, 9, 5, 10, 1, 8, 3, 10, 2, 8, 5, 10, 3, 8, 5, 10, 7, 8, 5, 10, 0, 8, 4, 10, 5, 8, 2, 10, 5, 8, 3, 10, 5, 8, 2, 10, 3, 11,

fg_h,
fg_h_r1, 13, 9, 4, 8, 7, 9, 0, 8, 4, 9, 3, 8, 5, 9, 4, 8, 2, 9, 1, 8, 4, 9, 1, 8, 3, 9, 4, 8, 6, 9, 1, 8, 4, 9, 3, 8, 1, 9, 4, 8, 1, 9, 4, 8, 3, 9, 4, 8, 3, 9, 4, 10, 3, 11,
fg_h_r2, 13, 11, 0, 10, 1, 11, 6, 10, 0, 11, 2, 10, 12, 11, 3, 10, 7, 11, 0, 10, 12, 11, 2, 10, 7, 11, 12, 10, 2, 11, 12, 10, 5, 11, 12, 10, 7, 11, 0, 10, 12, 11, 2, 10, 7, 11, 4, 10, 12, 11, 2, 9, 7, 8,
fg_h_r3, 13, 10, 1, 8, 7, 9, 6, 8, 5, 9, 6, 8, 5, 10, 4, 11, 3, 9, 5, 11, 4, 10, 2, 8, 6, 10, 12, 11, 7, 9, 4, 11, 6, 8, 7, 9, 5, 11, 0, 10, 5, 8, 6, 10, 7, 9, 4, 11, 7, 10, 4, 11, 7, 9,
fg_h_r4, 13, 11, 6, 9, 0, 11, 6, 9, 12, 11, 3, 9, 12, 11, 0, 9, 2, 11, 1, 9, 6, 11, 1, 9, 6, 11, 12, 9, 1, 11, 0, 9, 1, 11, 4, 9, 12, 11, 1, 9, 12, 11, 5, 10, 12, 9, 0, 11, 12, 9, 7, 11, 6, 8,
fg_h_r5, 13, 8, 5, 10, 2, 8, 6, 10, 5, 8, 3, 10, 2, 8, 5, 10, 3, 9, 5, 10, 1, 8, 3, 10, 2, 8, 5, 10, 3, 8, 5, 10, 7, 8, 5, 10, 0, 8, 4, 10, 5, 8, 2, 10, 5, 8, 3, 10, 5, 8, 2, 10, 3, 11,
